place,category,prcof,HHTYP,amount,Flag and Footnotes
Spain,Device for internet access: handheld computer,Percentage of households,Total,0,
Spain,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Spain,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Spain,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
France,Device for internet access: desktop or portable computer,Percentage of households,Total,81,
France,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,
France,Device for internet access: TV set with internet device,Percentage of households,Total,0,
France,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
France,Device for internet access: handheld computer,Percentage of households,Total,0,
France,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
France,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
France,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Croatia,Device for internet access: desktop or portable computer,Percentage of households,Total,65,
Croatia,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,96,
Croatia,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Croatia,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Croatia,Device for internet access: handheld computer,Percentage of households,Total,0,
Croatia,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Croatia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Croatia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Italy,Device for internet access: desktop or portable computer,Percentage of households,Total,66,
Italy,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,91,
Italy,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Italy,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Italy,Device for internet access: handheld computer,Percentage of households,Total,0,
Italy,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Italy,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Italy,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Cyprus,Device for internet access: desktop or portable computer,Percentage of households,Total,67,
Cyprus,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Cyprus,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Cyprus,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Cyprus,Device for internet access: handheld computer,Percentage of households,Total,0,
Cyprus,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Cyprus,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Cyprus,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Latvia,Device for internet access: desktop or portable computer,Percentage of households,Total,72,
Latvia,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Latvia,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Latvia,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Latvia,Device for internet access: handheld computer,Percentage of households,Total,0,
Latvia,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Latvia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Latvia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Lithuania,Device for internet access: desktop or portable computer,Percentage of households,Total,65,
Lithuania,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Lithuania,Device for internet access: TV set with internet device,Percentage of households,Total,0,
